synonyymit|määrittely|hakusana|murremuodot|venäjännös|suomennos|1. esimerkki|venäjännös|suomennos|2. esimerkki|venäjännös|suomennos|||
|v.|verduttada|verdu/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|сердить, рассердить, злить, обозлить|suututtaa|||||||||
|a.|verehine|ver’ehi/in’e, -ižen, -št; -ižiin, -ižiid|кровавый|verinen|||||||||
|a.|verez|vere/z, -sen, -st; -s’iin, -s’iid|свежий|veres, tuore|||||||||
|s.|verg|verg, -an, -ad; -uun, -uud|||||||||||
|s. yhd.|verisuon’|ver’i/suon’|кровеносный сосуд, вена|verisuoni|||||||||
|s.|vertol’ot|vertol’ot, -an, -ad|вертолёт|helikopteri|||||||||
|s.|verzij|vers’ij, -an, -ad|версия|versio|||||||||
|s.|vešalk|vešalk, -an, -ad|вешалка|naulakko|||||||||
humalas, vessel'as|adv. dem.|vessel’aižes|ves’s’el’aažes|навеселе|humalassa|||||||||
|s.|vestibüül’|vest’ib’ul’, -an, -ad|вестибюль|eteisaula|||||||||
|s.|veteran|vet’eran, -an, -ad|ветеран|veteraani|||||||||
|s.|veterinar|vet’er’inar, -an, -ad|ветеринар|eläinlääkäri|||||||||
|s.|viändäj|viändaj, -an, -ad|музыкант|soittaja, muusikko|||||||||
|s.|viändüz|viändu/z, -en, -st|музыка|musiikki|||||||||
|s. yhd.|viärd’alg|viär/d’aug|кривоногий|ontuva|||||||||
|adv.|viärin|viär’iin|косо, искоса|väärin, silmäkulmalla|||||||||
|v.|viärištada|viär’iš/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|искривить|vääristää|||||||||
|v.|viärittada|viär’i/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|винить, обвинять, пенять|syyttää|häin viär’it’ii (KTK)|он винил|hän syytti||||||
|s.|viärituz|viär’itu/z, -sen, -st; -s’iin, -s’iid|обвинение; улика|syytös; todiste|||||||||
|s. yhd.|viärrindpaid|viär/rint/paid|косоворотка|paita|||||||||
|s. yhd.|viärsilm|viär/s’il’m|косоглазый|kierosilmä|||||||||
|s. yhd.|viärsork|viär/sork|кривоногий|vääräsääri|||||||||
viga|s.|viärüz|viäru/z ~ viaru/z (KTK), -sen, -st; -s’iin, -s’iid|вина, ошибка|syy, syyllisyys, virhe|mija n'i mittušt viarust en l'öüda hänes (ND) kirj.|я никакой вины не нахожу в нем|en voi havaita hänen syyllistyneen mihinkään rikokseen||||||
|s.|viäzünd|viäzund, -an, -ad|усталость|väsyneisyys|||||||||
baibunu|a.|viäzünü|viäznu, -den, -t; -z’iin, -z’iid|усталый, измученный|väsynyt|||||||||
|a.|viäzütettu|viäzutetu/d, -n, -d; -in, -id|изможденный|väsytetty|||||||||
|v.|viäzüttada|viäzu/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|утомлять,утомить, умаять, уморить, истомить|vasyttää|||||||||
|s. mon.|viborad|vibor/ad, -uun, -uud|выборы|vaalit|||||||||
|v.|vidumaida|viduma/ada, -ab, -a; -ataze, -at’ihe (IL)|выдумать|keksiä, kuvitella|||||||||
|a. yhd.|vierahanmualaine|vier(a)han/mualaan'e, -mualaažen, -mualašt|иноземный, иностранный; иноземец, иностранный|vierasmaalainen, ulkomaalainen|tul'd'ihe minun svuatud, vierahanmualaažed laul.|пришли мои сваты, иноземцы|tulivat kosijani, vierasmaalaiset||||||
|v.|vierastuda|vierastu/da, -b, -i; -taze, -t’ihe|чуждаться|vieraksua|||||||||
|v. frekv. refl.|viereteltakse|vierete/l’dakse, -l’eze, -l’iihe(ze)|валяться|kieriskellä|||||||||
|s.|vies|vies, -an, -ad|вес|paino|||||||||
viesad|s. mon.|vieskad|vieskad|весы|vaaka|||||||||
|v.|viesoita|viesuuta ~ viesuutta (IL)|взвешивать, отвешивать|punnita||||uuz’ viest’ (KTK)|новая весть, новость|uusi viesti, uutinen|||
|s.|viest’|viest’, -in, -id; -iin, -iid|весть, известие, сообщение, сведение, новость|viesti, tieto, tiedotus, uutinen|anta viest’ (IL)|известить|tiedottaa||||||
|s. yhd.|viestintuoj|viest’in/tui|гонец|sanansaattaja, lähetti|||||||||
paha|a.|vihaine|viha/an’e, -ažen, -št; -ažiin, -ažiid|злой, гневный, свирепый, зол|vihainen, paha|olda vihaažen|злобствовать|olla vihaisena||||||
|a.|vihaine||||heid’en d’iolod old’ihe vihaažed (ND) kirj.|дела их были злы|heidän tekonsa olivat pahoja||||||
|s. yhd.|vihamiez|viha/miez’|враг, неприятель|vihollinen|||||||||
pitkvihaine|a. yhd.|vihanpidaj|vihan/pidaj|злопамятный, коварный|pitkävihainen|||||||||
|a.|vihaž|vihaž, -an, -ad|злобный, злой, недобрый, враждебный, резкий (ветер)|vihainen|||||||||
vihamiez|s.|vihažnik|vihažn'ik, -an, -ad|враг, недруг|vihollinen|||||||||
|s. yhd.|vihkelduzpuhe|vihkel'dus/puheg (OFMa)|заговор на вывих|niukahdusloitsu|||||||||
vihkaiduz|s.|vihkelduz|vihkel'du/z, -sen, -st; -s’iin, -s’iid (OFMa)|вывих|niukahdus, sijoiltaanmeno|||||||||
vihkelduz|s.|vihkaiduz|vihkaadu/z, -sen, -st; -s’iin, -s’iid (KTK)|вывих|niukahdus, sijoiltaanmeno|||||||||
|v.|vihkaita|vihkaa/ta, -dab, -ž ~ -žii; -taze, -t’ihe|вывихнуть|niukahduttaa, nyrjähdyttää, |||||||||
vihmaž|a.|vihmaksine|vihmas’i/in’e, -ižen, -št; -ižiin, -ižiid|дождливый, ненастный|sateinen|||||||||
|a.|vihmaž|vihmaž|дождливый|sateinen|vihmas keväz (OF)|дождливая весна|sateinen kevät||||||
|adv.|viidei|viidei|впятером|viisin|||||||||
kiär, kiäräč|s.|viihtak|viihtak|связка|kimppu, nippu|||||||||
säigiž|s.|viiht'|viiht', -en (LMS 494) ~ viihte, -n (IL) ~ hüht’ (KTK)|моток (ниток, пряжи), прядь (KTK)|vyyhti, lankavyyhti|viiht'ed (LMS 494)|мотки|vyyhdet||||||
leikata|v.|viilda|viil’/da, -ob, -ii|кроить, выкроить|viiltää, leikata (puku)|||||||||
leikata|v. frekv.|viilelta|viil’e/l’ta, -l’ob, -l’ ~ -l’ii; -l’taze, -l’t’ihe|выкравать, выкроить|leikkeillä (puku) |||||||||
|s.|viilend|viil’end, -an, -ad|кройка|leikkaaminen (puvun)|||||||||
|s.|viilij|viil'ij, -an, -ad|закройщик|leikkaaja (puvun)|||||||||
|num. yhd.|viižkümment|viiš/küment, viiden/küment, viit/küment|пятьдесят|viisikymmentä|||||||||
|num. yhd.|viižsadad|viiš/sadad|пятьсот|viisisataa|||||||||
|num. yhd.|viižtošt|viiš/tošt|пятнадцать|viisitoista|||||||||
|s.|vikroik|vikroik, -an, -ad|выкройка|leikkaaminen (puvun)|||||||||
|s.|viktorin|viktor’ina, -n, -d|викторина|tietokilpailu|||||||||
hangač|s.|vilk|vilk, -an, -ad; -uun, -uud|вилка|haarukka|||||||||
|s.|vill II|villa, -n, -d|вилла|villa|||||||||
|s.|vill I|vill, -an, -ad; -uun, -uud|шерсть (овечья)|villa (lampaan)|||||||||
|s. yhd.|villpaid|vill/paid|свитер|villapaita|||||||||
vilu|a. dem.|viluine|vilu/in'e, -ižen, -št; -ižiin, -ižiid; (Pal) vil/uun’e, -uužen, -ušt; -uužiin, -uužiid|холодненький; холодок|kylmä (hieman), kylmähkö; kylmä (pieni)|||||||||
|s.|vimpel|vimpel, -an, -ad|вымпел|viiri|||||||||
|s.|vingund|vingund, -an, -ad|писк|vinkuminen|||||||||
|s.|vinigred|vin’igred, -an, -ad|винегрет|rosolli|||||||||
|s.|vinograd|vinograd, -an, -ad|виноград|rypäle|||||||||
|s.|vint|vint, -an, -ad|винт|ruuvi, potkuri|||||||||
|s.|vintofk|vintofk, -an, -ad|винтовка|kivääri|||||||||
|s.|viritez|vir’ite/z, -sen, -st; -s’iin, -s’iid|растопка|virike, sytyke|||||||||
sütüttada|v.|virittada|vir’i/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|зажечь, поджечь, разжечь |virittää, sytyttää|vir'itetaze kaikiiš čur'iiš piä (OF)|поджигают со всех сторон|sytytetään joka puolelta||||||
|s.|virtuoz|virtuoz, -an, -ad|виртуоз|virtuoosi|||||||||
|s.|virz|virz, -un, -ud; -uin, -uid|лапоть|virsu, tuohivirsu|||||||||
virz|s. mon.|virzud|virzu/d, -in, -id|лапти|virsut, tuohivirsut|||||||||
|a.|viruj|viruj, -an, -ad|лежащий, лежачий|viruva, makaava, makaaja|i painuuhe, n'ägišt’ virujad pel'enad, no ei hašn'inu (ND) kirj.|и наклонившись увидел лежащие пелены, но не вошёл|hän kurkisti sisään ja näki käärinliinojen olevan siellä, mutta hän ei mennyt sisälle||||||
|s.|višifk|višifk, -an, -ad|вышивка|kirjonta, kirjailu|||||||||
|v.|višivoita|višivuuta|вышивать|kirjoa, kirjailla|||||||||
|a.|višivoittu|višivuutu/d, an, -d|вышитый|kirjottu, kirjailtu|||||||||
|s.|vistafk|vistafk, -an, -ad|выставка|näyttely|||||||||
|v.|vistupaida|vistupa/ada, -ab, -a; -ataze, -at’ihe|выступать|esiintyä|||||||||
|s.|vitamin|vitamin, -an, -ad|витамин|vitamiini|||||||||
|s.|vitrin|vitrin, -an, -ad|витрина|vitriini|||||||||
|s.|viiz|viza, -n, -d|виза|viisumi|||||||||
|s.|vizit|viz’it, -an, -ad|визит|vierailu|||||||||
|s.|vietnamč|vjetnamc, -an, -ad|вьетнамец|vietnamilainen|||||||||
|s.|vodolaz|vodolaz, -an, -ad|водолаз|sukeltaja|||||||||
voi II, a-voi-voi|interj.|voi-voi|voi/voi|ой|voi, oi|||||||||
vierta|v. frekv.|vierdelta|vierd/el’ta, -(e)l’ob, -el’ ~ -(e)l’ii; -el’taze, -el’t’ihe|палить подсеку|viertää (kaskea)|||||||||
|v. frekv.|voidelta|void/el’ta, -l’ob, -el’ ~ -l’ii; -el’taze, -el’t’ihe|смазывать, замазывать|voidella|||||||||
kibedahine|a. kar.|voimatoi|voimat/uu, -oman, -omad; -omiin, -omiid|больной, хворый, немощный|voimaton, sairas|olda voimatuu(n) (IL)|болеть|olla sairaana||||||
|v.|voivottada|voivo/tada, -tab, -t’ ~ -t’ii; -tetaze, -tet’ihe|стонать|valittaa|||||||||
vällüz|s.|vol’a|vol’/a, -an, -ad; -iin, -iid|воля, свобода|vapaus|piästa vol’al’e|освободить|päästää vapaalle||||||
vol'a, vällüz|s.|svobod|svoboda, -n, -d (KTK)|свобода|vapaus|||||||||
|s.|vonguj|vonguj, -an, -ad|нытик|marisija|||||||||
vargaz|s.|vora|vor/a, -an, -ad; -iin, -iid|вор|varas|||||||||
|s.|voronk|voronk, -an, -ad; -iin, -iid|воронка (для жидкостей)|suppilo, ratti|||||||||
vargastada, voruita|v.|voruida|voru/ida, -ib, -i; -itaze, -it'ihe|расхитить|varastaa|||||||||
|s.|Voznosend’|Voznosend’, -an, -ad|Вознесение|helatostai|||||||||
|adv.|vous’o|vous’o|вовсе|mitään, yhtään, lainkaan|||||||||
|s.|vratar’|vratar’, -n, -d|вратарь|porttivahti|||||||||
|a.|vuahteksine|vuahtes’i/in’e, -ižen, -št; -ižiin, -ižiid|пенистый|vaahtoisa|||||||||
|s.|vuas|vuas, -an, -ad|квас|kotikalja|||||||||
|s.|vuišk|vuišk, -an, -ad|чердак; вышка|ullakko, vintti|||||||||
|s.|vulkan|vulkan, -an, -ad|вулкан|tulivuori|||||||||
|s.|vuodamine|vuodami/in’e, -ižen, -št; -ižiin, -ižiid|течение, течь|vuoto|||||||||
|v.|vuodaškata|vuodaška/ta, -ndob, -nd’ž ~ -nd’žii; -taze, -t’ihe|потечь, истечь|alkaa vuotaa|sill piäs piä vuodaškataze d’oged eläbad vett (ND) kirj.|у того из чрева потекут реки воды живой|hänen päästään kumpuavat elävän veden virrat ||||||
|v.|vuodaškata||||no üks kopjal püšt’ hänel kül’gen i sr'iado vuodaškan'č ver’i i vez’i (ND) kirj.|но один (из войнов) копьем пронзил ему ребро, и тотчас истекла кровь и вода|üksi (sotilaista) kuitenkin työnsi keihään hänen kylkeensä, ja haavasta vuoti heti verta ja vettä||||||
|a.|vuodehine|vuodehi/in’e, -ižen, -št; -ižiin, -ižiid|годовалый|yksivuotias, vuoden vanha|||||||||
vird|s.|vuol|vuol (KTK), -on, -od|течение, поток|virta|a vez'i vuolol ved'ii ku ol'gtukun (OF) kirj.|а вода течением потащила как кучу соломы|mutta veden virralla veti kuin olkikasan||||||
|s. yhd.|olgtukk|(Js) ol'g/tukk (OF)|соломенная куча|olkikasa|a vez'i vuolol ved'ii ku ol'gtukun (OF) kirj.|а вода течением потащила как кучу соломы|mutta veden virralla veti kuin olkikasan||||||
|v. frekv.|vuotelta|vuot/el’ta, -l’ob, -el’ ~ -l’ii; -el’taze, -el’t’ihe|поджидать|odotella|||||||||
|v. refl.|vuottadakse|vuo/ttakse, -taze, -t’iihe(ze)|дождаться|odotella|||||||||
|a.|vuottamatoi|vuotmat/uu ~ vuotamat/uu (IL), -oman, -omad; -omiin, -omiid (IL)|нежданный; неожиданный, внезапный|odottamaton, äkillinen|||||||||
|a.|vuozine|vuoz’i/in’e, -ižen, -št; -ižiin, -ižiid|годичный|vuosittainen|||||||||
|s.|vuuz|vuz, -an, -ad|вуз|korkeakoulu|||||||||
|s.|zabastofk|zabastofk, -an, -ad|забастовка|lakko|||||||||
šaglad|s. mon.|žabrad|žabr/ad, -uun, -uud|жабры|kidukset|||||||||
|s.|zadač|zadač, -an, -ad; -uun, -uud|задача|tehtävä|||||||||
|s.|zaglavij|zaglavij, -an, -ad|заглавие|otsikko|||||||||
|s.|zajafk|zajafk, -an, -ad|заявка|tilaus|||||||||
|v.|zajavida|zajavi/da, -n, -n; -b, -i; -taze, -t'ihe|заявить|tehdä ilmoitus|||||||||
|s.|zajavlenij|zajavl’en'ij, -an, -ad|заявление|ilmoitus|||||||||
änküttada|v. refl.|zajikaidakse|zajikaa/dakse, -že, -he(ze)|заикаться|änkyttää|||||||||
|s.|zakaz|zakaz, -an, -ad; -uun, -uud|заказ|tilaus|||||||||
|s.|zaklatk|zaklatk, -an, -ad|закладка|kirjanmerkki|||||||||
|s.|zakon|zakon, -an, -ad; -uun, -uud|закон|laki|zakonan projekt|законопроект|lakiehdotus||||||
|s.|zakon||||zakonad t'eid'en müöt'i suut’kat hänt (ND) kirj.|по закону вашему судите его|tuomitkaa hänet oman lakinne mukaan||||||
süömine|s.|zakusk|zakusk, -an, -ad; -uun, -uud (KTK)|закуска|alkupala, ryyppypala|||||||||
|s.|zalošk|zalošk, -an, -ad|засов|salpa|||||||||
|s.|zamš|zamš, -an, -ad|замш|säämiskä, pesunahka|||||||||
|s.|žanr|žanr, -an, -ad|жанр|laji|||||||||
|s.|zaočnik|zaočn’ik, -an, -ad|заочник|kirjeopiskelija|||||||||
|s.|zapas|zapas, -an, -ad|резерв|reservi|||||||||
|s.|zapisk|zapisk, -an, -ad|записка|kirjoituslappu|||||||||
|s.|zaponk|zaponk, -an, -ad|запонка|kalvosinnappi|||||||||
|s.|zapovednik|zapovedn’ik, -an, -ad|заповедник|luonnonpuisto|||||||||
|s.|zaslug|zaslug, -an, -ad|заслуга|ansio|||||||||
|s.|zaslužind|zaslužind, -an, -ad|заслуга|ansio|||||||||
|s.|zašolk|zašolk, -an, -ad|щеколда|säppi|||||||||
lapp|s.|zast’ošk|zast’ošk, -an, -ad|застёжка|solki|||||||||
tuluksed|s.|zažigalk|zažigalk, -an, -ad; -uun, -uud (KTK)|зажигалка|sytytin; palopommi|||||||||
|s.|zavedenij|zaved’en'ij, -an, -ad|заведение|laitos|||||||||
|s.|zaverk|zaverk, -an, -ad|завертка|saverikko|s'iät'ihe zaverkad|делали завертки|tehtiin saverikkoja||||||
alg, avaiduz, algotez, algotuz, zavodind|s.|zavod|zavod, -an, -ad; -uun, -uud|завод; начинание, почин, начало|tehdas; alku, aloite|||||||||
|s.|zavodij|zavod’ij, -an, -ad|зачинщик|aloitteentekijä|||||||||
|s.|zažigalk|zažigalk, -an, -ad|зажигалка|sytytyskone|||||||||
|s.|zbirboi|zbirobuu (OFMa) ~ zbirobuo ~ zbirovuu  ~ zbirovuo, -n, -d |зверобой (растение)|kuisma|||||||||
|s.|zbornik|zborn’ik, -an, -ad|сборник|kokoelma, yhteisteos|||||||||
|s.|zduač|zduač, -an, -ad|сдача|takaisin annettava raha|||||||||
|s.|zell’|zel’l’, -an, -ad|лекарство|lääke|||||||||
helm II, žemčugad|s.|žemčug|žemčug, -an, -ad; -uun, -uud|жемчуг|helmet|(Yl) žemčuguuš|жемчугах| helmissä||||||
helmed, žemčug|s. mon.|žemčugad|žemčug/ad, -uun, -uud|жемчуга, жемчужные украшения|helmet|(Yl) žemčuguuš|жемчугах| helmissä||||||
|s.|žerd’|žerd’, -in, -id; -iin, -iid|жердь|riuku|||||||||
|s.|žerebjofk|žer’eb’ofk, -an, -ad (IL)|жеребьёвка|arvanheitto|||||||||
|s.|žertv|žertv, -an, -ad|жертва|uhri, uhraus|||||||||
voi II|adv.|žiäl’|žiäl’ ~ žial’ (KTK)|жаль, жалко|sääli|žiäl’, ku miä müöhästuin|жаль, что я опоздал|sääli, että minä myöhästyin||||||
|s.|žiest’|žiest’ (IL) ~ žest' (KTK), -in, -id; -iin, -iid|жесть|pelti|||||||||
kard', kanz, žiivat|s. mon.|žiivatad|žiivat/ad, -uun, -uud|скот, животные|karja, kotieläimet|aid žiivatuul’e (IL)|загон для скота|karja-aitaus||||||
|s. yhd.|žiivataniškend|žiivatan/iškend|убой|teurastus|||||||||
|s. yhd.|žiivatoidenkaccuj|žiivatuun/kacuj|животновод|karjanhoitaja|||||||||
|s.|živopis’|živopis’, -in, -id; -iin, -iid|живопись|maalaus|||||||||
|s.|zivorotk|zivorotk, -an, -ad|сыворотка|hera, seerumi|||||||||
|s.|značk|značk, -an, -ad|значок|merkki, pinssi|||||||||
flaga, flakk|s.|znamä|znam’a, -n, -d|знамя|lippu|||||||||
